127.0.0.1, 2018-09-30 14:41:05, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.381282
127.0.0.1, 2018-09-30 14:41:07, GET, /admin/default/index, HTTP/1.1, 303, 0.029148
127.0.0.1, 2018-09-30 14:41:07, GET, /admin/default/site, HTTP/1.1, 200, 0.109541
127.0.0.1, 2018-09-30 14:41:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000488
127.0.0.1, 2018-09-30 14:41:09, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.056023
127.0.0.1, 2018-09-30 14:41:10, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.067279
127.0.0.1, 2018-09-30 14:41:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.139516
127.0.0.1, 2018-09-30 14:41:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.177572
127.0.0.1, 2018-09-30 14:41:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.195455
127.0.0.1, 2018-09-30 14:41:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.103107
127.0.0.1, 2018-09-30 14:41:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000549
127.0.0.1, 2018-09-30 14:41:22, GET, /admin/, HTTP/1.1, 303, 0.012248
127.0.0.1, 2018-09-30 14:41:23, GET, /admin/default/site, HTTP/1.1, 200, 0.112830
127.0.0.1, 2018-09-30 14:41:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000556
127.0.0.1, 2018-09-30 14:41:26, GET, /, HTTP/1.1, 303, 0.001627
127.0.0.1, 2018-09-30 14:41:35, GET, /admin/default/index, HTTP/1.1, 303, 0.009013
127.0.0.1, 2018-09-30 14:41:35, GET, /admin/default/site, HTTP/1.1, 200, 0.103775
127.0.0.1, 2018-09-30 14:41:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000892
127.0.0.1, 2018-09-30 14:41:39, GET, /admin/default/site, HTTP/1.1, 200, 0.091480
127.0.0.1, 2018-09-30 14:41:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000662
127.0.0.1, 2018-09-30 14:41:41, GET, /admin/debug/interact, HTTP/1.1, 200, 0.048243
127.0.0.1, 2018-09-30 14:41:42, GET, /admin/static/_2.17.1/js/autoscroll.js, HTTP/1.1, 200, 0.001700
127.0.0.1, 2018-09-30 14:41:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000822
127.0.0.1, 2018-09-30 14:41:44, GET, /examples/default/documentation, HTTP/1.1, 500, 0.302542
127.0.0.1, 2018-09-30 14:41:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000521
127.0.0.1, 2018-09-30 14:41:47, GET, /, HTTP/1.1, 303, 0.002011
127.0.0.1, 2018-09-30 14:41:52, GET, /welcome/appadmin/hooks, HTTP/1.1, 500, 42.387680
127.0.0.1, 2018-09-30 14:41:56, GET, /welcome/default/index, HTTP/1.1, 500, 45.684162
127.0.0.1, 2018-09-30 14:42:01, GET, /welcome/default/index, HTTP/1.1, 500, 34.703939
127.0.0.1, 2018-09-30 14:42:14, GET, /, HTTP/1.1, 303, 0.011384
127.0.0.1, 2018-09-30 14:42:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.255333
127.0.0.1, 2018-09-30 14:43:32, GET, /admin/default/about/welcome, HTTP/1.1, 200, 0.291104
127.0.0.1, 2018-09-30 14:43:32, GET, /admin/static/_2.17.1/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.001332
127.0.0.1, 2018-09-30 14:43:32, GET, /admin/static/_2.17.1/js/jquery.flot.js, HTTP/1.1, 200, 0.002746
127.0.0.1, 2018-09-30 14:43:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000510
127.0.0.1, 2018-09-30 14:44:10, GET, /admin/default/site, HTTP/1.1, 200, 0.098166
127.0.0.1, 2018-09-30 14:44:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2018-09-30 14:44:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.065128
127.0.0.1, 2018-09-30 14:51:37, GET, /, HTTP/1.1, 303, 0.010768
127.0.0.1, 2018-09-30 14:51:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.243048
127.0.0.1, 2018-09-30 14:51:42, GET, /admin/default/index, HTTP/1.1, 303, 0.180583
127.0.0.1, 2018-09-30 14:54:48, GET, /, HTTP/1.1, 303, 0.011376
127.0.0.1, 2018-09-30 14:54:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.240403
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/default/index, HTTP/1.1, 200, 0.023918
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.005047
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.003981
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002811
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.002188
